n,term,is_fashion,fashion_category,corpus_freq
1,lame,True,material,5
1,mandarin,True,garment,5
1,yak,True,material,5
1,broadcloth,True,material,4
1,honor,True,brand,4
1,pongee,True,material,4
1,sea,True,brand,4
1,sharkskin,True,material,4
1,toga,True,brand,4
1,velveteen,True,material,4
1,acetate,True,material,3
1,acrylic,True,material,3
1,henley,True,garment,3
1,llama,True,material,3
1,lycra,True,material,3
1,pique,True,material,3
1,ringer,True,garment,3
1,trucker,True,garment,3
1,welt,True,garment,3
1,applique,True,style,2
1,lambswool,True,material,2
1,madras,True,material,2
1,modal,True,material,2
1,sailcloth,True,material,2
1,serge,True,material,2
1,symmetrical,True,style,2
1,tricot,True,material,2
1,turtle,True,garment,2
1,whipcord,True,material,2
1,cretonne,True,material,1
1,dobby,True,material,1
1,etamine,True,material,1
1,flax,True,material,1
1,hutson,True,brand,1
1,iceberg,True,brand,1
1,moire,True,material,1
1,navy,True,color,1
1,oilskin,True,material,1
1,plisse,True,material,1
1,ramie,True,material,1
1,ripstop,True,material,1
1,ruffian,True,brand,1
1,sisal,True,material,1
1,surplice,True,garment,1
1,undershirt,True,garment,1
1,vicuna,True,material,1
1,willow,True,brand,1
1,wink,True,brand,1
1,zephyr,True,material,1
2,double breasted,True,garment,160
2,high waist,True,garment,71
2,ball gown,True,garment,55
2,faux fur,True,material,54
2,broderie anglaise,True,material,29
2,high low,True,style,26
2,faux leather,True,material,15
2,single breasted,True,garment,13
2,jacquard knit,True,material,6
2,low waist,True,garment,3
2,rib knit,True,material,3
2,empire waistline,True,garment,1
2,hair accessory,True,accessory,1
2,one shoulder,True,garment,1
