topic_id,year,rank,word_phi,phi,word_relevance,relevance
2,2002,16,lace,0.004217779065649248,appointment,8.943018970225115
2,2002,17,jean,0.004185582278888567,ikat,8.943018970225115
2,2002,18,sexy,0.003895811198042435,houndstooth,8.943018970225115
2,2002,19,pink,0.0037670240509997104,maxi,8.874026098738163
2,2002,20,pair,0.0037670240509997104,fishnet,8.874026098738163
3,2002,1,coat,0.027762782447751985,mohair,10.168720516699805
3,2002,2,jacket,0.019331122593249532,puffer,9.94166306606446
3,2002,3,leather,0.01889411583249788,houndstooth,9.67339907946978
3,2002,4,fur,0.017531682990154496,sable,9.64742359306652
3,2002,5,skirt,0.01167065114007352,python,9.506344994806614
3,2002,6,sweater,0.008097478213927662,ice,9.44382463782528
3,2002,7,pant,0.0078147091334413,program,9.411034815002289
3,2002,8,fall,0.007686177733220226,rib,9.267933971361618
3,2002,9,wool,0.007660471453176011,cocoon,9.228713258208334
3,2002,10,high,0.006349451170921056,positive,9.145331649269284
3,2002,11,tweed,0.006040975810390478,elbow,9.10087988669845
3,2002,12,boot,0.005449731369373538,pullover,9.054359871063557
3,2002,13,collar,0.00519266856893139,preview,9.054359871063557
3,2002,14,silk,0.00519266856893139,funnel,9.005569706894125
3,2002,15,shoulder,0.004987018328577671,stylist,9.005569706894125
3,2002,16,cashmere,0.004987018328577671,covetable,9.005569706894125
3,2002,17,print,0.004678542968047094,trio,8.954276412506573
3,2002,18,shearling,0.004575717847870235,maxi,8.954276412506573
3,2002,19,short,0.00449859900773759,outing,8.954276412506573
3,2002,20,big,0.004472892727693375,armor,8.900209191236296
4,2002,1,leather,0.011573857432537825,issue,9.892283667249707
4,2002,2,jacket,0.011417875526438933,outing,9.892283667249707
4,2002,3,white,0.00876618312275776,armor,9.461500751157253
4,2002,4,body,0.00854780845421931,technology,9.422280038003972
4,2002,5,skirt,0.008391826548120419,execution,9.338898429064919
4,2002,6,coat,0.0076119170176259555,regular,9.338898429064919
4,2002,7,high,0.007549524255186398,ness,9.294446666494085
4,2002,8,print,0.0075183278739666196,striking,9.294446666494085
4,2002,9,work,0.006769614724691936,con,9.294446666494085
4,2002,10,shoulder,0.006707221962252379,land,9.247926650859194
4,2002,11,pant,0.006145687100296365,balloon,9.247926650859194
